"","DRG.Definition"
"72","481 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC"
"73","482 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC"
"74","491 - BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC"
"75","536 - FRACTURES OF HIP & PELVIS W/O MCC"
"76","552 - MEDICAL BACK PROBLEMS W/O MCC"
"77","563 - FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W/O MCC"
"78","602 - CELLULITIS W MCC"
"79","603 - CELLULITIS W/O MCC"
"80","638 - DIABETES W CC"
"81","640 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC"
"82","641 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC"
"83","682 - RENAL FAILURE W MCC"
"84","683 - RENAL FAILURE W CC"
"85","684 - RENAL FAILURE W/O CC/MCC"
"86","689 - KIDNEY & URINARY TRACT INFECTIONS W MCC"
"87","690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC"
"88","698 - OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC"
"89","699 - OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC"
"90","811 - RED BLOOD CELL DISORDERS W MCC"
"91","812 - RED BLOOD CELL DISORDERS W/O MCC"
"92","853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC"
"93","870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS"
"94","871 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC"
"95","872 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC"
"96","885 - PSYCHOSES"
"97","897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC"
"98","917 - POISONING & TOXIC EFFECTS OF DRUGS W MCC"
"99","918 - POISONING & TOXIC EFFECTS OF DRUGS W/O MCC"
"100","948 - SIGNS & SYMPTOMS W/O MCC"
